Ticker,Sector,Industry,Full Time Emp
CADE,Financial Services,Banks-Regional,1800
CAKE,Consumer Cyclical,Restaurants,46250
CAL,Consumer Cyclical,Footwear & Accessories,11400
CALM,Consumer Defensive,Farm Products,3461
CAMP,Technology,Communication Equipment,1080
CASH,Financial Services,Banks-Regional,1015
CATM,Industrials,Business Equipment & Supplies,1987
CATO,Consumer Cyclical,Apparel Retail,10060
CBB,Communication Services,Telecom Services,4400
CBU,Financial Services,Banks-Regional,2752
CCOI,Communication Services,Telecom Services,1110
CCRN,Industrials,Staffing & Employment Services,1700
CCS,Consumer Cyclical,Residential Construction,1460
CEIX,Energy,Thermal Coal,1792
CENT,Consumer Defensive,Packaged Foods,5600
CENTA,Consumer Defensive,Packaged Foods,5600
CENX,Basic Materials,Aluminum,2079
CEVA,Technology,Semiconductors,382
CFFN,Financial Services,Banks-Regional,668
CHCO,Financial Services,Banks-Regional,921
CHCT,Real Estate,REIT-Healthcare Facilities,25
CHEF,Consumer Defensive,Food Distribution,2447
CHRS,Healthcare,Biotechnology,306
CHS,Consumer Cyclical,Apparel Retail,4788
CHUY,Consumer Cyclical,Restaurants,9000
CIR,Industrials,Specialty Industrial Machinery,3200
CKH,Energy,Oil & Gas Equipment & Services,2309
CLB,Energy,Oil & Gas Equipment & Services,3800
CLDT,Real Estate,REIT-Hotel & Motel,39
CLF,Basic Materials,Steel,2372
CLI,Real Estate,REIT-Office,283
CLW,Basic Materials,Paper & Paper Products,3290
CMO,Real Estate,REIT-Mortgage,14
CMTL,Technology,Communication Equipment,2034
CNMD,Healthcare,Medical Devices,3300
CNSL,Communication Services,Telecom Services,3400
CNXN,Technology,Electronics & Computer Distribution,2609
COHU,Technology,Semiconductor Equipment & Materials,3200
COKE,Consumer Defensive,Beverages-Non-Alcoholic,14800
COLB,Financial Services,Banks-Regional,2162
CONN,Consumer Cyclical,Specialty Retail,4200
COOP,Financial Services,Mortgage Finance,9100
CORE,Consumer Defensive,Food Distribution,8555
CORT,Healthcare,Biotechnology,206
CPE,Energy,Oil & Gas E&P,475
CPF,Financial Services,Banks-Regional,789
CPK,Utilities,Utilities-Regulated Gas,955
CPRI,Consumer Cyclical,Apparel Manufacturing,10834
CPS,Consumer Cyclical,Auto Parts,28000
CPSI,Healthcare,Health Information Services,2000
CRMT,Consumer Cyclical,Auto & Truck Dealerships,1750
CROX,Consumer Cyclical,Footwear & Accessories,3803
CRS,Industrials,Metal Fabrication,4600
CRVL,Financial Services,Insurance Brokers,3824
CRY,Healthcare,Medical Devices,1200
CSGS,Technology,Software-Infrastructure,4339
CSII,Healthcare,Medical Devices,779
CTB,Consumer Cyclical,Auto Parts,8720
CTRE,Real Estate,REIT-Healthcare Facilities,52
CTS,Technology,Electronic Components,3570
CUB,Industrials,Aerospace & Defense,6100
CUBI,Financial Services,Banks-Regional,881
CUTR,Healthcare,Medical Devices,447
CVBF,Financial Services,Banks-Regional,0
CVCO,Consumer Cyclical,Residential Construction,5000
CVET,Healthcare,Health Information Services,5100
CVGW,Consumer Defensive,Packaged Foods,3657
CWT,Utilities,Utilities-Regulated Water,1224
CXW,Real Estate,REIT-Specialty,14075
CYH,Healthcare,Medical Care Facilities,63000
CYTK,Healthcare,Biotechnology,156
DAKT,Technology,Computer Hardware,2395
DBD,Technology,Software-Application,22000
DBI,Consumer Cyclical,Apparel Retail,15800
DCOM,Financial Services,Banks-Regional,421
DDD,Technology,Computer Hardware,2472
DEA,Real Estate,REIT-Office,37
DFIN,Financial Services,Capital Markets,2900
DGII,Technology,Communication Equipment,656
DHC,Real Estate,REIT-Healthcare Facilities,0
DIN,Consumer Cyclical,Restaurants,558
DIOD,Technology,Semiconductors,6605
DLX,Communication Services,Advertising Agencies,6388
DNOW,Energy,Oil & Gas Equipment & Services,2600
DORM,Consumer Cyclical,Auto Parts,2732
DRH,Real Estate,REIT-Hotel & Motel,31
DRQ,Energy,Oil & Gas Equipment & Services,1444
DSPG,Technology,Semiconductors,340
DXPE,Industrials,Industrial Distribution,2747
EAT,Consumer Cyclical,Restaurants,62200
EBIX,Technology,Software-Application,7975
ECHO,Industrials,Integrated Freight & Logistics,2513
ECOL,Industrials,Waste Management,3800
ECPG,Financial Services,Mortgage Finance,7300
EGBN,Financial Services,Banks-Regional,515
EGHT,Technology,Software-Application,1675
EGOV,Technology,Software-Application,1000
EGRX,Healthcare,Drug Manufacturers-Specialty & Generic,108
EHTH,Financial Services,Insurance Brokers,1500
EIG,Financial Services,Insurance-Specialty,704
ELY,Consumer Cyclical,Leisure,4200
ENDP,Healthcare,Drug Manufacturers-Specialty & Generic,3172
ENSG,Healthcare,Medical Care Facilities,24500
ENTA,Healthcare,Biotechnology,141
ENVA,Financial Services,Credit Services,1325
EPAC,Industrials,Specialty Industrial Machinery,2300
EPAY,Technology,Software-Infrastructure,2000
EPRT,Real Estate,REIT-Diversified,27
ESE,Technology,Scientific & Technical Instruments,2713
ETH,Consumer Cyclical,"Furnishings, Fixtures & Appliances",3369
EVTC,Technology,Software-Infrastructure,2300
EXLS,Technology,Information Technology Services,31700
EXPO,Industrials,Consulting Services,901
EXTN,Energy,Oil & Gas Equipment & Services,3600
EXTR,Technology,Communication Equipment,2584
EZPW,Financial Services,Credit Services,6800
FARO,Technology,Scientific & Technical Instruments,1818
FBC,Financial Services,Banks-Regional,4871
FBK,Financial Services,Banks-Regional,1377
FBM,Industrials,Industrial Distribution,3400
FBNC,Financial Services,Banks-Regional,1065
FBP,Financial Services,Banks-Regional,2674
FCF,Financial Services,Banks-Regional,1399
FCPT,Real Estate,REIT-Hotel & Motel,361
FDP,Consumer Defensive,Farm Products,38000
FELE,Industrials,Specialty Industrial Machinery,5500
FF,Basic Materials,Chemicals,538
FFBC,Financial Services,Banks-Regional,2065
FHB,Financial Services,Banks-Regional,2099
FIX,Industrials,Engineering & Construction,12000
FIZZ,Consumer Defensive,Beverages-Non-Alcoholic,1550
FLGT,Healthcare,Diagnostics & Research,473
FLOW,Industrials,Specialty Industrial Machinery,5000
FMBI,Financial Services,Banks-Regional,2122
FN,Technology,Electronic Components,11506
FOE,Basic Materials,Specialty Chemicals,5922
FORM,Technology,Semiconductors,1836
FORR,Industrials,Consulting Services,1823
FOSL,Consumer Cyclical,Luxury Goods,10200
FRGI,Consumer Cyclical,Restaurants,10480
FSP,Real Estate,REIT-Office,37
FSS,Industrials,Pollution & Treatment Controls,3600
FUL,Basic Materials,Specialty Chemicals,6369
FWRD,Industrials,Integrated Freight & Logistics,4640
GBX,Industrials,Railroads,10600
GCI,Communication Services,Publishing,21255
GCO,Consumer Cyclical,Apparel Retail,5650
GCP,Basic Materials,Specialty Chemicals,2000
GDOT,Financial Services,Credit Services,1200
GEO,Real Estate,REIT-Healthcare Facilities,23000
GES,Consumer Cyclical,Apparel Retail,15800
GFF,Industrials,Tools & Accessories,7400
GHL,Financial Services,Capital Markets,405
GIII,Consumer Cyclical,Apparel Retail,4000
GKOS,Healthcare,Medical Instruments & Supplies,600
GLT,Basic Materials,Paper & Paper Products,2557
GLUU,Communication Services,Electronic Gaming & Multimedia,715
GME,Consumer Cyclical,Specialty Retail,14000
GMS,Industrials,Building Products & Equipment,5308
GNL,Real Estate,REIT-Office,1
GPI,Consumer Cyclical,Auto & Truck Dealerships,15296
GPMT,Real Estate,REIT-Mortgage,0
GPRE,Basic Materials,Specialty Chemicals,820
GTLS,Industrials,Specialty Industrial Machinery,5743
GTY,Real Estate,REIT-Retail,31
GVA,Industrials,Engineering & Construction,7000
GWB,Financial Services,Banks-Regional,1607
HA,Industrials,Airlines,7087
HAFC,Financial Services,Banks-Regional,633
HAYN,Industrials,Metal Fabrication,1037
HCC,Basic Materials,Coking Coal,1417
HCI,Financial Services,Insurance-Property & Casualty,413
HFWA,Financial Services,Banks-Regional,857
HI,Industrials,Specialty Industrial Machinery,11000
HIBB,Consumer Cyclical,Specialty Retail,3500
HLIT,Technology,Communication Equipment,1162
HLX,Energy,Oil & Gas Equipment & Services,1650
HMN,Financial Services,Insurance-Property & Casualty,1538
HMST,Financial Services,Banks-Regional,999
HMSY,Healthcare,Health Information Services,3100
HNGR,Healthcare,Medical Care Facilities,4800
HOPE,Financial Services,Banks-Regional,1416
HP,Energy,Oil & Gas Drilling,4138
HSC,Industrials,Specialty Industrial Machinery,10500
HSII,Industrials,Staffing & Employment Services,1746
HSKA,Healthcare,Diagnostics & Research,386
HSTM,Healthcare,Health Information Services,849
HT,Real Estate,REIT-Hotel & Motel,49
HTLD,Industrials,Trucking,4050
HUBG,Industrials,Integrated Freight & Logistics,5000
HVT,Consumer Cyclical,Home Improvement Retail,3425
HWKN,Basic Materials,Specialty Chemicals,656
HZO,Consumer Cyclical,Specialty Retail,1736
IBP,Industrials,Building Products & Equipment,8500
IBTX,Financial Services,Banks-Regional,1469
ICHR,Technology,Semiconductor Equipment & Materials,1355
IIIN,Industrials,Metal Fabrication,881
IIPR,Real Estate,REIT-Industrial,14
ILPT,Real Estate,REIT-Industrial,0
INDB,Financial Services,Banks-Regional,1348
INGN,Healthcare,Medical Devices,1020
INN,Real Estate,REIT-Hotel & Motel,59
INVA,Healthcare,Biotechnology,5
IOSP,Basic Materials,Specialty Chemicals,2000
IPAR,Consumer Defensive,Household & Personal Products,402
IRBT,Technology,Consumer Electronics,1159
IRDM,Communication Services,Telecom Services,497
IRET,Real Estate,REIT-Residential,361
IRT,Real Estate,REIT-Residential,410
ITGR,Healthcare,Medical Devices,8250
ITRI,Technology,Scientific & Technical Instruments,6700
IVC,Healthcare,Medical Devices,3900
IVR,Real Estate,REIT-Mortgage,0
JBSS,Consumer Defensive,Packaged Foods,1370
JBT,Industrials,Specialty Industrial Machinery,6200
JJSF,Consumer Defensive,Packaged Foods,4100
JOE,Real Estate,Real Estate-Diversified,55
JRVR,Financial Services,Insurance-Specialty,800
KALU,Basic Materials,Aluminum,2585
KAMN,Industrials,Aerospace & Defense,2935
KELYA,Industrials,Staffing & Employment Services,7700
KFY,Industrials,Staffing & Employment Services,8198
