index,index,1. open,2. high,3. low,4. close,5. volume,Ticker
108,12/30/2011,15.51,16.5,14.2,14.77,46419800,CROX
109,11/30/2011,16.71,18.49,14.55,15.51,50219600,CROX
110,10/31/2011,23.41,27.68,14.95,17.67,114834000,CROX
111,9/30/2011,27.28,29.5,23.66,23.68,53174900,CROX
112,8/31/2011,32.15,32.4691,23.12,27.39,78493400,CROX
113,7/29/2011,25.64,31.7,25.51,31.33,54255800,CROX
114,6/30/2011,22.68,26.044,21,25.75,52468700,CROX
115,5/31/2011,20.3,23.47,19.49,22.73,42653200,CROX
116,4/29/2011,17.98,21.59,17.88,20.11,43467400,CROX
117,3/31/2011,17.76,19.61,15.97,17.84,53071200,CROX
118,2/28/2011,16.42,19,16.39,17.65,35375400,CROX
119,1/31/2011,17.22,17.8,15.28,16.39,47705400,CROX
120,12/31/2010,17.93,19.54,16.6,17.12,46431700,CROX
121,11/30/2010,14.07,17.89,13.84,17.545,65361100,CROX
122,10/29/2010,13.2,14.94,12.88,13.93,58019700,CROX
123,9/30/2010,12.75,14.03,10.3,13,142795700,CROX
124,8/31/2010,13.12,14.08,11.81,12.48,76447200,CROX
125,7/30/2010,10.53,12.99,9.88,12.83,59493600,CROX
126,6/30/2010,10.05,12.28,9.21,10.58,62856700,CROX
127,5/28/2010,9.7,11.39,8.5,10.35,84770400,CROX
128,4/30/2010,8.81,11.4,8.38,9.66,76774000,CROX
129,3/31/2010,7.03,9,6.95,8.78,59771800,CROX
130,2/26/2010,7.38,8,6.6,7.05,58124800,CROX
131,1/29/2010,5.87,7.63,5.805,7.35,68631100,CROX
132,12/31/2009,4.93,6,4.86,5.75,38469600,CROX
133,11/30/2009,6.12,6.995,4.33,4.87,82026900,CROX
134,10/30/2009,6.62,8.2,5.95,6.08,78862300,CROX
135,9/30/2009,6.29,7.26,5.87,6.65,59957900,CROX
136,8/31/2009,3.47,7.45,3.45,6.35,127870700,CROX
137,7/31/2009,3.45,3.65,2.55,3.42,40107800,CROX
138,6/30/2009,3,4.5,2.8,3.4,67010300,CROX
139,5/29/2009,2.29,4.25,2.13,2.91,74098800,CROX
140,4/30/2009,1.25,2.6,1.19,2.25,51808800,CROX
141,3/31/2009,1.19,1.48,1,1.19,27203642,CROX
142,2/27/2009,1.19,1.58,1.12,1.22,24398800,CROX
143,1/30/2009,1.24,1.63,1.1,1.2,20834500,CROX
144,12/31/2008,1.25,1.83,1.05,1.24,31971100,CROX
145,11/28/2008,2.61,3.57,0.79,1.27,69923000,CROX
146,10/31/2008,3.52,3.69,1.66,2.51,50527500,CROX
147,9/30/2008,4.2,5.35,3.51,3.58,70792200,CROX
148,8/29/2008,4.45,5.8,4.03,4.15,98222900,CROX
149,7/31/2008,7.76,10.55,4.26,4.44,130945200,CROX
150,6/30/2008,10.11,10.4,7.67,8.01,109373400,CROX
151,5/30/2008,10.23,12.5,9.81,10.21,143471400,CROX
152,4/30/2008,17.93,20.98,9.529,10.21,217110200,CROX
153,3/31/2008,24.21,24.29,16.14,17.47,125306500,CROX
154,2/29/2008,35.5,37.76,24.03,24.32,140866800,CROX
155,1/31/2008,38,39.29,25.28,34.79,155513700,CROX
156,12/31/2007,39.05,46.8,36,36.81,74708400,CROX
157,11/30/2007,53.6,55.86,33.75,39.03,297487000,CROX
158,10/31/2007,67.31,75.21,60.28,74.75,101650600,CROX
159,9/28/2007,58.3,68.12,54.45,67.25,119128200,CROX
160,8/31/2007,58.25,61.99,44.1,59.04,140688200,CROX
161,7/31/2007,43.15,60.83,41.18,59.32,146027800,CROX
162,6/29/2007,82.4,93.58,40.38,43,138173950,CROX
163,5/31/2007,55.53,82.25,53.25,81.4499,70994900,CROX
164,4/30/2007,47.98,56.94,46.85,55.88,33997800,CROX
165,3/30/2007,47.42,50.04,43.35,47.25,41430700,CROX
166,2/28/2007,51.25,58.57,46.65,48.72,55332600,CROX
167,1/31/2007,43.19,53,42.85,50.34,34814700,CROX
168,12/29/2006,43.19,44.5,41.36,43.2,19463800,CROX
169,11/30/2006,39.57,50.25,35.25,42.95,56700000,CROX
170,10/31/2006,33.76,39.94,31.66,39.62,24311700,CROX
171,9/29/2006,26.93,35.05,26.47,33.95,30652200,CROX
172,8/31/2006,28.59,30.75,24.73,27.02,29528000,CROX
173,7/31/2006,25.25,28.44,22.65,27.67,9104000,CROX
174,6/30/2006,23.11,25.18,21.56,25.15,7106300,CROX
175,5/31/2006,30,37,22.64,22.91,23853200,CROX
176,4/28/2006,25.4,30.5,24.41,29.9,9233100,CROX
177,3/31/2006,27.75,28.2,20.32,25.15,22960300,CROX
0,12/14/2020,24.97,29.76,24.85,27.76,4789005,CRS
1,11/30/2020,17.83,27.64,17.28,24.44,11382829,CRS
2,10/30/2020,18.19,19.69,15.9,17.48,9898417,CRS
3,9/30/2020,20.84,22.25,17.6,18.16,9753313,CRS
4,8/31/2020,22.59,25.435,20.3456,21.03,11951088,CRS
5,7/31/2020,24.44,25.43,20.95,22.36,21796920,CRS
6,6/30/2020,23.51,30.86,22,24.28,10885779,CRS
7,5/29/2020,21.83,26.2,17.23,23.37,9909980,CRS
8,4/30/2020,18.75,24.68,17.58,22.17,12629467,CRS
9,3/31/2020,37.2,39.43,13.6,19.5,14089508,CRS
10,2/28/2020,39.92,44.84,36.02,36.75,5592168,CRS
11,1/31/2020,50.25,50.25,39.49,39.74,6868911,CRS
12,12/31/2019,52.71,54.9,47.84,49.78,5864202,CRS
13,11/29/2019,49.85,53.99,49.52,52.57,3368422,CRS
14,10/31/2019,52.2,53.31,44.67,49.02,6486764,CRS
15,9/30/2019,47.75,56.33,46.6,51.66,6155044,CRS
16,8/30/2019,48,49.88,43.33,48.64,5770894,CRS
17,7/31/2019,48.55,48.61,44.21,45.01,4834195,CRS
18,6/28/2019,40.85,48.79,40.34,47.98,5429710,CRS
19,5/31/2019,49.67,51.87,40.04,40.56,5348430,CRS
20,4/30/2019,46.93,53,46,49.67,6685793,CRS
21,3/29/2019,47.26,48.88,41.62,45.85,5074269,CRS
22,2/28/2019,46.72,48.38,44.29,46.94,5038388,CRS
23,1/31/2019,34.64,48.59,34.4,47.26,6938930,CRS
