Ticker,pct change,Industry,Sector,Full Time Emp,Year
NSA,21.20525600362483,Real Estate,REIT-Industrial,459,2016
ECPG,19.99999999999999,Financial Services,Mortgage Finance,7300,2016
ALG,30.31537450722733,Industrials,Farm & Heavy Construction Machinery,4270,2016
KRA,48.45505617977528,Basic Materials,Specialty Chemicals,1944,2016
BKU,10.586362430352866,Financial Services,Banks-Regional,1493,2016
CSII,65.0970673275506,Healthcare,Medical Devices,779,2016
GES,-53.223140495867774,Consumer Cyclical,Apparel Retail,15800,2016
BMI,-51.096075778078465,Industrials,Electrical Equipment & Parts,1567,2016
IRDM,27.499999999999996,Communication Services,Telecom Services,497,2016
SITC,-12.049770792403406,Real Estate,REIT-Retail,361,2016
PKE,12.707774798927602,Industrials,Aerospace & Defense,136,2016
MDRX,-34.96571988246815,Healthcare,Health Information Services,9600,2016
TRST,37.142857142857146,Financial Services,Banks-Regional,771,2016
MMSI,37.54716981132075,Healthcare,Medical Instruments & Supplies,6000,2016
MDC,15.198752922837095,Consumer Cyclical,Residential Construction,1656,2016
RPT,-3.0759951749095396,Real Estate,REIT-Retail,104,2016
ACLS,81.99312714776632,Technology,Semiconductor Equipment & Materials,960,2016
SJI,26.209557732264766,Utilities,Utilities-Diversified,1100,2016
BCEI,-179.41176470588235,Energy,Oil & Gas E&P,125,2016
BOOM,61.45110410094637,Energy,Oil & Gas Equipment & Services,741,2016
CRS,23.251313243019077,Industrials,Metal Fabrication,4600,2016
IRBT,41.95038494439692,Technology,Consumer Electronics,1159,2016
KOP,57.99007444168735,Basic Materials,Specialty Chemicals,2120,2016
TTMI,57.22670579603816,Technology,Electronic Components,25700,2016
NTGR,31.241950321987126,Technology,Communication Equipment,803,2016
CRVL,-24.644808743169385,Financial Services,Insurance Brokers,3824,2016
SFBS,-7.024572649572656,Financial Services,Banks-Regional,496,2016
TRUP,46.45618556701031,Financial Services,Insurance-Specialty,738,2016
ECHO,12.135728542914167,Industrials,Integrated Freight & Logistics,2513,2016
LGIH,23.56421858684302,Consumer Cyclical,Residential Construction,953,2016
