,Ticker,pct change,Industry,Sector,FullTimeEmployees
73,CROX,31.43948436380998,Consumer Cyclical,Footwear & Accessories,3803
74,ALG,31.397849462365595,Industrials,Farm & Heavy Construction Machinery,4270
75,AGYS,30.342384887839437,Technology,Software-Application,1275
76,GLT,30.163934426229517,Basic Materials,Paper & Paper Products,2557
77,CSGS,30.108149864812674,Technology,Software-Infrastructure,4339
78,GMS,30.096011816838992,Industrials,Building Products & Equipment,5308
79,PARR,30.03442340791737,Energy,Oil & Gas Refining & Marketing,1408
80,SENEA,29.884775680313798,Consumer Defensive,Packaged Foods,3200
81,PRDO,29.798803697661775,Consumer Defensive,Education & Training Services,2250
82,EGRX,29.66045272969374,Healthcare,Drug Manufacturers-Specialty & Generic,108
83,CMTL,29.642152719075803,Technology,Communication Equipment,2034
84,ESE,29.61081081081081,Technology,Scientific & Technical Instruments,2713
85,JBT,29.48695189064442,Industrials,Specialty Industrial Machinery,6200
86,MANT,29.431647471206812,Technology,Software-Application,8900
87,TGI,29.362880886426584,Industrials,Aerospace & Defense,9989
88,ROCK,29.321966693100716,Industrials,Building Products & Equipment,1932
89,PNTG,29.18052615663743,Healthcare,Medical Care Facilities,4700
90,TRUP,29.124399359316605,Financial Services,Insurance-Specialty,738
91,HLX,29.07580477673936,Energy,Oil & Gas Equipment & Services,1650
92,CRVL,28.491300366300365,Financial Services,Insurance Brokers,3824
93,HMST,28.029411764705888,Financial Services,Banks-Regional,999
94,AEIS,27.963483146067418,Industrials,Electrical Equipment & Parts,10917
95,EXPO,27.604694971743232,Industrials,Consulting Services,901
96,PLXS,27.060046789706266,Technology,Electronic Components,19500
97,TG,27.02460850111858,Basic Materials,Specialty Chemicals,3000
98,SNBR,26.88870836718116,Consumer Cyclical,"Furnishings, Fixtures & Appliances",4000
99,ANIK,26.730954676952745,Healthcare,Biotechnology,154
100,EGOV,26.621923937360194,Technology,Software-Application,1000
101,ZUMZ,26.43312101910828,Consumer Cyclical,Apparel Retail,2575
102,CCOI,26.37896976143443,Communication Services,Telecom Services,1110
