Ticker,pct change,Sector,Industry,Full Time Emp,Year
MGPI,25.795206971677555,Consumer Defensive,Packaged Foods,341.0,2020
GME,72.27436823104694,Consumer Cyclical,Specialty Retail,14000.0,2020
MTRX,-112.91005291005294,Energy,Oil & Gas Equipment & Services,2900.0,2020
OIS,-103.78071833648393,Energy,Oil & Gas Equipment & Services,2337.0,2020
ZUMZ,18.167498030979264,Consumer Cyclical,Apparel Retail,2575.0,2020
MANT,0.9255831173639392,Technology,Software-Application,8900.0,2020
ARR,-76.85950413223142,Real Estate,REIT-Mortgage,0.0,2020
SPPI,48.577235772357724,Healthcare,Biotechnology,146.0,2020
TRHC,-45.21130282570642,Healthcare,Health Information Services,1286.0,2020
FSP,-53.53535353535352,Real Estate,REIT-Office,37.0,2020
HWKN,21.288620949510168,Basic Materials,Specialty Chemicals,656.0,2020
ARNC,52.603996069439894,Industrials,Specialty Industrial Machinery,15400.0,2020
AAN,0.0,,,,2020
